instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced pathladinduced vf2induced vf3induced riinduced
si6_m4Dr6_m625.04 6 1 47 47 037 28 0 0.000693083
si6_m4Dr6_m625.01 6 1 45 44 021 8 1 0.000582933
si6_m4Dr6_m625.09 6 1 71 74 038 8 0 0.000581026
si6_m4Dr6_m625.07 6 1 46 70 019 16 0 0.000611782
si6_m4Dr6_m625.00 6 1 46 46 042 8 0 0.000360012
si6_m4Dr6_m625.08 6 1 48 54 037 14 1 0.000353098
si6_m4Dr6_m625.05 6 1 46 46 028 16 1 0.000687122
si6_m4Dr6_m625.06 6 1 45 45 032 16 0 0.000771999
si6_m4Dr6_m625.02 6 1 47 48 038 14 0 0.011445
si6_m4Dr6_m625.03 6 1 66 56 019 17 1 0.00105
si4_m4Dr2_m625.09 6 1 28 28 059 12 1 0.043895
si4_m4Dr2_m625.04 6 1 42 32 300 6 3 0.000265121
si4_m4Dr2_m625.02 6 1 27 34 026 12 0 0.000267029
si4_m4Dr2_m625.07 6 1 41 34 018 11 0 0.000398874
si4_m4Dr2_m625.00 6 1 27 27 035 6 0 0.000257969
si4_m4Dr2_m625.08 6 1 27 30 024 6 1 0.000247002
si4_m4Dr2_m625.01 6 1 27 27 049 11 0 0.000641823
si4_m4Dr2_m625.06 6 1 27 32 025 11 10 0.000261784
si4_m4Dr2_m625.03 6 1 29 29 050 12 1 0.000478029
si4_m4Dr2_m625.05 6 1 37 29 134 6 0 0.000412941
si2_r001_m600.00 7 1 26 29 16090 NaN 1508 0.014225
si2_r001_m600.06 7 1 81 62 7041 NaN 281 0.053308
si2_r001_m600.04 7 1 50 28 17350 NaN 10 0.00916791
si2_r001_m600.07 7 1 37 55 16763 NaN 5536 0.16823
si2_r001_m600.02 7 1 140 87 39566 NaN 1115 0.837191
si2_r001_m600.08 7 1 45 60 NaN NaN 20005 0.809294
si2_r001_m600.03 7 1 46 34 41437 NaN NaN 25.0036
si2_r001_m600.01 7 1 28 27 31331 NaN 2381 0.0750918
si2_r001_m600.05 7 1 52 55 21330 NaN 428 0.104296
si2_r001_m600.09 7 1 31 25 76948 NaN 179055 3.76049
si2_m4Dr2_m256.09 6 1 3 3 059 1 6 0.00692296
si2_m4Dr2_m256.03 6 1 36 41 129 1 46 0.052294
si2_m4Dr2_m256.04 6 1 8 5 054 1 15 0.031348
si2_m4Dr2_m256.07 6 1 3 2 012 1 0 0.000724077
si2_m4Dr2_m256.00 6 1 3 3 020 1 9 0.00381398
si2_m4Dr2_m256.06 6 1 4 5 159 1 264 0.109128
si2_m4Dr2_m256.08 6 1 2 2 006 2 0 0.000174046
si2_m4Dr2_m256.05 6 1 3 3 001 1 0 0.000169992
si2_m4Dr2_m256.01 6 1 3 3 053 1 3 0.0202701
si2_m4Dr2_m256.02 6 1 2 2 004 1 1 0.000248909
si6_r001_m600.09 7 1 92 92 055 NaN 1 0.00142312
si6_r001_m600.00 7 1 74 73 1979 NaN 117 0.0135999
si6_r001_m600.07 7 1 75 95 2430 NaN 103 0.00963211
si6_r001_m600.03 7 1 82 93 1388 NaN 11 0.011349
si6_r001_m600.01 7 1 74 106 1165 NaN 89 0.00135398
si6_r001_m600.06 7 1 75 101 2284 NaN 1 0.000548124
si6_r001_m600.08 7 1 109 98 3518 NaN 205 0.00367022
si6_r001_m600.02 7 1 75 75 1069 NaN 23 0.00812984
si6_r001_m600.04 7 1 75 74 1298 NaN 7 0.0128791
si6_r001_m600.05 7 1 95 87 890 NaN 1 0.00131106
si2_m4Dr2_m1296.05 6 1 62 61 058 25 0 0.0304279
si2_m4Dr2_m1296.09 6 1 63 71 764 31 10 0.0115819
si2_m4Dr2_m1296.02 6 1 113 124 1745 25 11 0.050118
si2_m4Dr2_m1296.07 6 1 61 61 494 36 0 0.000541925
si2_m4Dr2_m1296.00 6 1 58 60 054 23 0 0.00134993
si2_m4Dr2_m1296.06 6 1 63 63 2621 23 87 0.614966
si2_m4Dr2_m1296.08 6 1 96 63 1028 41 1 0.000905991
si2_m4Dr2_m1296.01 6 1 70 80 2648 37 63 0.0891938
si2_m4Dr2_m1296.03 6 1 59 59 1354 35 1 0.00147486
si2_m4Dr2_m1296.04 6 1 67 68 053 22 1 0.00951886
si4_b06m_m800.08 4 1 59 43 046 10 0 0.00113988
si4_b06m_m800.00 4 1 43 43 026 10 0 0.000528812
si4_b06m_m800.06 4 1 44 44 020 12 0 0.000329971
si4_b06m_m800.05 4 1 44 47 033 16 1 0.000771046
si4_b06m_m800.04 4 1 45 43 021 17 1 0.000987053
si4_b06m_m800.09 4 1 42 43 040 10 1 0.000836849
si4_b06m_m800.01 4 1 46 46 027 16 1 0.000823975
si4_b06m_m800.07 4 1 42 42 043 10 1 0.000633001
si4_b06m_m800.03 4 1 42 42 033 19 0 0.00108504
si4_b06m_m800.02 4 1 47 48 032 19 0 0.000439167
si6_m4Dr2_m625.08 6 1 45 45 075 9 1 0.00389886
si6_m4Dr2_m625.09 6 1 146 136 024 7 0 0.000854015
si6_m4Dr2_m625.05 6 1 47 47 252 15 8 0.0050261
si6_m4Dr2_m625.01 6 1 41 41 027 13 1 0.000329018
si6_m4Dr2_m625.06 6 1 49 44 020 14 0 0.000353813
si6_m4Dr2_m625.00 6 1 42 42 035 8 1 0.000580072
si6_m4Dr2_m625.03 6 1 43 44 034 14 0 0.000329971
si6_m4Dr2_m625.02 6 1 56 50 435 7 1 0.00198293
si6_m4Dr2_m625.07 6 1 44 44 033 14 0 0.0133522
si6_m4Dr2_m625.04 6 1 46 62 350 7 1 0.000509024
si2_m4D_m1296.01 5 1 323 163 3911 47 3 0.00511694
si2_m4D_m1296.08 5 1 55 55 652 22 0 0.00134397
si2_m4D_m1296.06 5 1 67 104 3527 24 32 0.0557759
si2_m4D_m1296.05 5 1 55 55 770 34 1 0.00298691
si2_m4D_m1296.09 5 1 56 57 1027 22 5 0.0195079
si2_m4D_m1296.03 5 1 73 207 2993 25 0 0.000437021
si2_m4D_m1296.07 5 1 55 55 931 39 3 0.00360489
si2_m4D_m1296.02 5 1 58 58 1365 32 2 0.00427413
si2_m4D_m1296.04 5 1 63 57 1238 31 6 0.00596309
si2_m4D_m1296.00 5 1 70 82 512 29 1 0.00100493
si4_b03_m800.05 3 1 48 48 1852 11 0 0.045716
si4_b03_m800.00 3 1 49 47 1880 10 0 0.000195026
si4_b03_m800.08 3 1 48 48 1865 11 0 0.000203133
si4_b03_m800.09 3 1 49 50 1870 8 0 0.000194073
si4_b03_m800.03 3 1 47 47 1859 5 0 0.000247955
si4_b03_m800.02 3 1 47 48 1845 5 0 0.000374079
si4_b03_m800.04 3 1 48 48 1863 9 0 0.00019598
si4_b03_m800.01 3 1 47 48 1864 8 3 0.000262976
si4_b03_m800.06 3 1 48 48 1855 9 0 0.000411987
si4_b03_m800.07 3 1 48 48 1848 10 0 0.000232935
si6_m4D_m1296.02 5 1 179 182 2990 35 2 0.00632215
si6_m4D_m1296.07 5 1 249 472 10010 NaN NaN 0.0276968
si6_m4D_m1296.05 5 1 179 179 3076 50 6 0.0116382
si6_m4D_m1296.09 5 1 232 226 9911 NaN NaN 0.0402961
si6_m4D_m1296.00 5 1 64407 5087 74965 NaN 11714 73.5826
si6_m4D_m1296.08 5 1 182 181 3005 45 2 0.00422812
si6_m4D_m1296.04 5 1 179 183 2898 49 7 0.012332
si6_m4D_m1296.06 5 1 488 385 13342 NaN 10 0.0222471
si6_m4D_m1296.01 5 1 937 826 16001 NaN NaN 29.1318
si6_m4D_m1296.03 5 1 1543 2581 22985 NaN NaN 0.0773461
si6_r001_m200.05 7 1 4 4 018 705 6 0.000402927
si6_r001_m200.09 7 1 8 4 027 85 1 0.00175595
si6_r001_m200.07 7 1 3 3 004 6710 0 0.000185013
si6_r001_m200.02 7 1 4 4 025 1123 3 0.00067997
si6_r001_m200.01 7 1 4 4 003 1871 0 0.000194073
si6_r001_m200.00 7 1 4 3 008 602610 1 0.000144958
si6_r001_m200.04 7 1 4 4 025 125899 2 0.000571012
si6_r001_m200.06 7 1 4 4 001 3930 0 0.00019908
si6_r001_m200.08 7 1 3 3 003 86 0 0.012424
si6_r001_m200.03 7 1 4 4 006 10453 0 0.000150919
si4_b06_m400.06 3 1 16 15 260 8 0 0.000167131
si4_b06_m400.07 3 1 15 15 247 2 0 0.000365019
si4_b06_m400.09 3 1 15 15 288 2 0 0.000312805
si4_b06_m400.01 3 1 15 15 248 3 0 0.000380993
si4_b06_m400.04 3 1 15 15 289 3 0 0.00019002
si4_b06_m400.03 3 1 15 15 247 2 0 0.0001719
si4_b06_m400.00 3 1 15 15 286 4 0 0.000174046
si4_b06_m400.05 3 1 15 15 279 4 0 0.0003829
si4_b06_m400.08 3 1 15 15 285 3 0 0.011754
si4_b06_m400.02 3 1 15 15 248 2 0 0.000980139
si2_m4Dr6_m256.06 6 1 3 3 030 1 0 0.041914
si2_m4Dr6_m256.05 6 1 3 3 009 1 0 0.000109911
si2_m4Dr6_m256.09 6 1 3 3 035 1 8 0.00189781
si2_m4Dr6_m256.00 6 1 3 3 027 1 2 0.000938177
si2_m4Dr6_m256.07 6 1 3 3 008 1 0 0.000109196
si2_m4Dr6_m256.04 6 1 3 3 001 1 1 0.000761986
si2_m4Dr6_m256.02 6 1 3 3 041 1 0 0.000431061
si2_m4Dr6_m256.01 6 1 3 3 010 1 18 9.799e-05
si2_m4Dr6_m256.08 6 1 3 3 046 2 4 0.00952101
si2_m4Dr6_m256.03 6 1 3 3 004 1 0 0.000504971
si6_r01_m200.04 7 1 35 36 772 NaN 3 0.0272338
si6_r01_m200.08 7 1 43 39 728 NaN 14 0.13662
si6_r01_m200.02 7 1 70 48 2164 NaN 255 3.66788
si6_r01_m200.09 7 1 37 56 3184 NaN 284 0.399651
si6_r01_m200.07 7 1 42 40 4004 NaN 45 0.177676
si6_r01_m200.00 7 1 58 90 6210 NaN 86 0.292888
si6_r01_m200.01 7 1 36 36 541 NaN 552 0.682077
si6_r01_m200.03 7 1 90 84 3764 NaN 822 0.620606
si6_r01_m200.05 7 1 45 44 3423 NaN 717 0.700785
si6_r01_m200.06 7 1 42 52 887 NaN 402 0.421435
si2_b03m_m800.03 4 1 17 17 020 6 0 0.00108504
si2_b03m_m800.02 4 1 101 101 011 5 0 0.00120211
si2_b03m_m800.09 4 1 16 17 023 5 0 NaN
si2_b03m_m800.04 4 1 18 18 016 10 0 0.000846148
si2_b03m_m800.06 4 1 17 17 010 8 0 0.000538111
si2_b03m_m800.05 4 1 17 17 020 10 0 1.84509
si2_b03m_m800.01 4 1 17 17 015 9 0 0.00636816
si2_b03m_m800.08 4 1 18 18 016 5 0 NaN
si2_b03m_m800.07 4 1 23 17 022 7 0 3.23602
si2_b03m_m800.00 4 1 18 18 019 5 0 0.328285
si2_r001_m200.06 7 1 2 2 038 237305 138 0.06407
si2_r001_m200.01 7 1 2 2 009 NaN 18 0.00362682
si2_r001_m200.02 7 1 4 2 014 NaN 19 0.00947189
si2_r001_m200.07 7 1 1 1 011 180212 0 0.000184059
si2_r001_m200.04 7 1 1 2 015 182621 2 0.00032115
si2_r001_m200.05 7 1 4 11 022 NaN 8 19.3989
si2_r001_m200.09 7 1 35 4 022 NaN 5919 0.160141
si2_r001_m200.03 7 1 1 1 033 NaN 31 0.0040381
si2_r001_m200.00 7 1 1 1 024 10288 19 0.0153899
si2_r001_m200.08 7 1 1 2 011 NaN 0 0.00721002
si6_b03m_m800.01 4 1 59 58 086 17 1 0.043627
si6_b03m_m800.08 4 1 77 58 086 10 220 0.00884008
si6_b03m_m800.03 4 1 58 59 085 10 96 0.0745261
si6_b03m_m800.00 4 1 80 69 083 16 NaN 0.00360703
si6_b03m_m800.04 4 1 57 58 078 8 1 0.00149417
si6_b03m_m800.05 4 1 90 59 094 7 170 0.158865
si6_b03m_m800.07 4 1 57 58 070 8 1 30.1783
si6_b03m_m800.06 4 1 57 57 057 16 4425 0.00586891
si6_b03m_m800.09 4 1 58 58 074 12 218437 0.0611761
si6_b03m_m800.02 4 1 58 59 080 8 NaN 0.000509977
si4_r005_m200.00 7 1 17 17 2887 NaN 220 0.170828
si4_r005_m200.08 7 1 11 11 2345 NaN 121 0.219852
si4_r005_m200.02 7 1 14 16 148 NaN 191 0.0700409
si4_r005_m200.05 7 1 11 22 355 NaN 1 0.00184298
si4_r005_m200.06 7 1 91 90 125 NaN 2 0.000913143
si4_r005_m200.04 7 1 11 11 1990 NaN 356 0.146655
si4_r005_m200.07 7 1 12 12 886 NaN 160 0.136854
si4_r005_m200.09 7 1 15 13 3329 NaN 148 0.0636411
si4_r005_m200.01 7 1 11 12 2287 NaN 37 0.0369971
si4_r005_m200.03 7 1 14 16 213 NaN 353 0.145811
si6_b09m_m400.03 4 1 21 30 013 8 0 0.000334978
si6_b09m_m400.07 4 1 24 20 008 4 0 0.000288963
si6_b09m_m400.00 4 1 22 22 011 6 0 0.000888109
si6_b09m_m400.04 4 1 28 30 015 8 1 0.000272989
si6_b09m_m400.06 4 1 21 21 010 6 0 0.000846863
si6_b09m_m400.08 4 1 21 21 015 4 1 0.000609159
si6_b09m_m400.02 4 1 21 21 008 4 0 0.000281096
si6_b09m_m400.05 4 1 38 21 005 4 0 0.000508785
si6_b09m_m400.09 4 1 20 20 013 4 0 0.000326157
si6_b09m_m400.01 4 1 21 21 007 4 1 0.000451088
si2_b09_m200.08 3 1 3 3 044 1 0 0.000194073
si2_b09_m200.01 3 1 3 3 029 1 0 0.000451088
si2_b09_m200.06 3 1 5 5 056 0 0 0.000225067
si2_b09_m200.05 3 1 3 3 031 1 0 0.000155926
si2_b09_m200.00 3 1 3 3 042 0 0 0.000149012
si2_b09_m200.02 3 1 3 3 057 0 0 0.00037384
si2_b09_m200.03 3 1 3 3 059 1 0 0.000123024
si2_b09_m200.04 3 1 3 3 035 1 0 0.000109196
si2_b09_m200.09 3 1 3 3 053 1 0 0.015105
si2_b09_m200.07 3 1 3 5 034 1 0 0.000144005
si6_r01_m600.02 7 1 2152 2745 NaN NaN 106504 786.183
si6_r01_m600.06 7 1 1239 1246 NaN NaN 75411 860.789
si6_r01_m600.09 7 1 5440 6192 NaN NaN 58214 204.426
si6_r01_m600.08 7 1 42870 57562 NaN NaN NaN 587.578
si6_r01_m600.05 7 1 847 2037 NaN NaN 13911 41.0017
si6_r01_m600.07 7 1 5493 4900 NaN NaN 20604 36.9087
si6_r01_m600.03 7 1 2482 4303 NaN NaN 85503 314.128
si6_r01_m600.00 7 1 1637 1748 NaN NaN 48222 235.996
si6_r01_m600.01 7 1 1137 1162 NaN NaN 265045 204.95
si6_r01_m600.04 7 1 12366 9621 NaN NaN 773366 324.334
si2_b06_m200.02 3 1 5 4 034 0 0 0.00011301
si2_b06_m200.00 3 1 2 2 037 1 0 8.70228e-05
si2_b06_m200.01 3 1 2 2 018 0 0 9.89437e-05
si2_b06_m200.06 3 1 2 2 038 1 0 0.000105143
si2_b06_m200.09 3 1 2 2 018 1 0 0.000114918
si2_b06_m200.07 3 1 2 2 033 1 0 0.00014782
si2_b06_m200.04 3 1 2 2 021 1 0 8.79765e-05
si2_b06_m200.08 3 1 2 2 036 0 0 0.000147104
si2_b06_m200.03 3 1 2 2 021 1 0 8.60691e-05
si2_b06_m200.05 3 1 2 2 039 0 0 0.000169992
si6_m4Dr2_m1296.05 6 1 190 193 160 37 3 0.00124097
si6_m4Dr2_m1296.09 6 1 193 209 148 39 2 0.000674009
si6_m4Dr2_m1296.01 6 1 196 189 167 47 2 0.00120902
si6_m4Dr2_m1296.06 6 1 200 204 192 56 2 0.000734091
si6_m4Dr2_m1296.07 6 1 200 218 397 46 2 0.000724077
si6_m4Dr2_m1296.03 6 1 227 198 148 50 2 0.00135899
si6_m4Dr2_m1296.04 6 1 210 191 133 34 3 0.000638008
si6_m4Dr2_m1296.00 6 1 198 214 158 33 2 0.000673056
si6_m4Dr2_m1296.08 6 1 214 189 180 49 2 0.000629902
si6_m4Dr2_m1296.02 6 1 200 185 150 32 2 0.000630856
si2_b09m_m800.09 4 1 29 29 025 10 0 0.000334978
si2_b09m_m800.07 4 1 49 29 019 10 0 0.00227404
si2_b09m_m800.00 4 1 51 31 024 11 0 0.000638008
si2_b09m_m800.04 4 1 28 28 012 10 0 0.0030961
si2_b09m_m800.02 4 1 29 29 024 16 0 0.000309944
si2_b09m_m800.05 4 1 29 30 026 10 0 0.000638962
si2_b09m_m800.03 4 1 32 32 030 20 9 0.00279307
si2_b09m_m800.08 4 1 28 28 021 14 0 0.000672102
si2_b09m_m800.06 4 1 32 32 026 10 0 0.00399089
si2_b09m_m800.01 4 1 32 31 014 17 0 0.000490189
si4_b03_m400.01 3 1 10 11 238 2 0 0.000128984
si4_b03_m400.02 3 1 10 10 239 1 0 0.000128031
si4_b03_m400.05 3 1 10 10 267 2 0 0.00019598
si4_b03_m400.07 3 1 10 10 280 2 0 0.000118971
si4_b03_m400.06 3 1 10 10 243 1 0 0.000121832
si4_b03_m400.00 3 1 10 11 279 1 0 0.000120878
si4_b03_m400.03 3 1 10 10 272 2 0 0.000124931
si4_b03_m400.04 3 1 10 10 273 3 18 0.000126123
si4_b03_m400.09 3 1 10 10 280 1 0 0.000119925
si4_b03_m400.08 3 1 10 10 276 1 0 0.000287056
si2_b03_m200.05 3 1 1 1 014 0 0 6.8903e-05
si2_b03_m200.09 3 1 1 1 015 0 0 6.69956e-05
si2_b03_m200.07 3 1 1 1 015 0 0 7.20024e-05
si2_b03_m200.01 3 1 1 2 022 0 0 7.00951e-05
si2_b03_m200.08 3 1 2 2 016 0 0 7.31945e-05
si2_b03_m200.02 3 1 1 1 022 0 0 8.60691e-05
si2_b03_m200.04 3 1 1 1 014 0 0 7.31945e-05
si2_b03_m200.03 3 1 1 1 031 0 0 0.000137806
si2_b03_m200.06 3 1 1 1 016 0 0 7.82013e-05
si2_b03_m200.00 3 1 1 1 033 0 0 7.29561e-05
si4_r005_m600.00 7 1 867 1270 712037 NaN 10930 2.92194
si4_r005_m600.02 7 1 1444 789 77448 NaN 931 1.30223
si4_r005_m600.08 7 1 4789 5456 NaN NaN 3998 17.634
si4_r005_m600.05 7 1 1741 1638 NaN NaN 7121 8.25002
si4_r005_m600.07 7 1 1181 1076 771879 NaN 5036 2.00358
si4_r005_m600.06 7 1 2163 2093 923720 NaN 35292 0.632672
si4_r005_m600.01 7 1 507 443 142535 NaN 6219 7.05558
si4_r005_m600.04 7 1 2246 1845 NaN NaN 4509 7.8203
si4_r005_m600.03 7 1 556 512 450377 NaN 1692 7.37796
si4_r005_m600.09 7 1 364 456 23443 NaN 35 0.0474389
si4_b09_m400.05 3 1 20 20 448 4 0 0.000231028
si4_b09_m400.03 3 1 20 20 442 2 0 0.000298023
si4_b09_m400.00 3 1 20 22 488 2 0 0.000249147
si4_b09_m400.07 3 1 20 20 449 2 0 0.000315905
si4_b09_m400.01 3 1 20 32 487 2 0 0.000360012
si4_b09_m400.06 3 1 20 20 452 2 0 0.000215054
si4_b09_m400.04 3 1 20 20 477 2 0 0.000228882
si4_b09_m400.02 3 1 20 21 448 6 0 0.000292063
si4_b09_m400.08 3 1 20 20 469 5 0 0.000249147
si4_b09_m400.09 3 1 21 21 449 4 0 0.000313997
si4_b06m_m400.06 4 1 10 10 009 5 0 0.00051403
si4_b06m_m400.03 4 1 11 11 007 3 0 0.000242949
si4_b06m_m400.01 4 1 11 11 011 2 0 0.000390053
si4_b06m_m400.08 4 1 10 11 007 3 0 0.000385046
si4_b06m_m400.05 4 1 10 10 010 2 0 0.000246048
si4_b06m_m400.07 4 1 11 11 008 2 0 0.00027585
si4_b06m_m400.00 4 1 10 10 009 3 0 0.000200987
si4_b06m_m400.04 4 1 15 14 011 5 10 0.00018096
si4_b06m_m400.09 4 1 10 10 010 3 0 0.000402927
si4_b06m_m400.02 4 1 18 10 009 2 0 0.000359058
si2_m4Dr2_m625.05 6 1 14 15 062 5 0 0.00138211
si2_m4Dr2_m625.00 6 1 20 20 250 9 1 0.00832009
si2_m4Dr2_m625.08 6 1 14 14 005 6 0 0.000223875
si2_m4Dr2_m625.09 6 1 14 14 104 9 0 0.000283003
si2_m4Dr2_m625.06 6 1 15 15 186 6 14 0.00355506
si2_m4Dr2_m625.04 6 1 15 15 157 5 0 0.00110888
si2_m4Dr2_m625.01 6 1 15 15 094 6 6 0.00218105
si2_m4Dr2_m625.03 6 1 15 15 067 5 12 0.00983596
si2_m4Dr2_m625.02 6 1 15 14 161 8 3 0.00302696
si2_m4Dr2_m625.07 6 1 14 26 106 5 0 0.000405073
si2_r005_m200.02 7 1 7 7 471 NaN 7 0.0190811
si2_r005_m200.01 7 1 1150 1034 12607 NaN 10582 4.10081
si2_r005_m200.03 7 1 19 23 1370 NaN 92 0.0893879
si2_r005_m200.05 7 1 28 36 24208 NaN 1477 1.69555
si2_r005_m200.08 7 1 45 92 7732 NaN 1444 0.854599
si2_r005_m200.04 7 1 52 51 5593 NaN 70 0.0395081
si2_r005_m200.09 7 1 14 19 1133 NaN 86 0.065752
si2_r005_m200.06 7 1 11 22 1223 NaN 219 0.127696
si2_r005_m200.00 7 1 63 34 3918 NaN 66 0.0493798
si2_r005_m200.07 7 1 11 17 1565 NaN 192 0.12301
si4_b03m_m400.03 4 1 7 7 010 1 0 0.000849962
si4_b03m_m400.09 4 1 8 8 009 1 1 0.000228167
si4_b03m_m400.08 4 1 8 7 013 1 7 0.000744104
si4_b03m_m400.04 4 1 7 8 009 1 1 0.000247002
si4_b03m_m400.00 4 1 8 8 012 1 3 0.000262976
si4_b03m_m400.01 4 1 8 8 009 3 39 0.00209689
si4_b03m_m400.07 4 1 8 8 009 3 0 0.000210047
si4_b03m_m400.02 4 1 8 8 009 1 0 1.82925
si4_b03m_m400.06 4 1 8 8 012 1 0 0.046675
si4_b03m_m400.05 4 1 8 8 006 2 0 0.067523
si2_r01_m600.01 7 1 13680 14378 NaN NaN 566458 869.808
si2_r01_m600.06 7 1 46239 30170 NaN NaN 596335 NaN
